Country,Abbreviations,Points
Nepal,NEP,937.84
Cambodia,CAM,925.4
Dominica,DMA,922.25
Samoa,SAM,920.54
Belize,BLZ,919.52
Mauritius,MRI,919.4
Bangladesh,BAN,905.3
Bhutan,BHU,904.1
Macau,MAC,896.62
Cook Islands,COK,896.59
São Tomé and Príncipe,STP,893.58
American Samoa,ASA,890.97
Laos,LAO,889.62
Mongolia,MNG,884.04
Djibouti,DJI,877.28
Aruba,ARU,875.82
Brunei Darussalam,BRU,872.65
Pakistan,PAK,849.94
Cayman Islands,CAY,847.81
Seychelles,SEY,845.53
Timor-Leste,TLS,843.4
Somalia,SOM,842.64
Bahamas,BAH,835.81
Tonga,TGA,833.12
Liechtenstein,LIE,832.75
Gibraltar,GIB,832.5
Sri Lanka,SRI,829.41
Guam,GUM,821.91
Turks and Caicos Islands,TCA,817.03
British Virgin Islands,VGB,813.31
US Virgin Islands,VIR,797.29
Anguilla,AIA,793.48
San Marino,SMR,742.05
